date,Men,Women,Total Single Adults
2015-09-01,8694,3449,12143
2015-09-18,8754,3491,12245
2016-03-08,9531,3650,13181
2016-03-31,9471,3671,13142
2016-11-30,9613,3889,13502
2016-12-01,9636,3870,13506
2016-12-06,9643,3879,13522
2016-12-08,9682,3869,13551
2017-01-08,9855,3780,13635
2017-01-12,9790,3782,13572
2017-02-13,9979,3754,13733
2017-02-15,10016,3845,13861
2017-02-22,10031,3833,13864
2017-02-26,10029,3817,13846
2017-03-15,10152,3869,14021
2017-06-29,10162,3818,13980
2017-07-06,10117,3832,13949
2017-10-24,10317,4071,14388
2017-11-30,10531,4105,14636
2017-12-12,10606,4098,14704
2017-12-14,10665,4119,14784
2018-01-16,10792,4092,14884
2018-01-25,10920,4126,15046
2018-02-05,11011,4111,15122
2018-02-11,11024,4171,15195
2018-02-22,11118,4189,15307
2018-03-08,11119,4152,15271
2018-03-26,11174,4146,15320
2018-09-06,11221,4273,15494
2018-09-09,11267,4356,15623
2018-09-10,11266,4371,15637
2018-09-12,11318,4385,15703
2018-09-13,11288,4381,15669
2018-09-30,11284,4401,15685
2018-10-23,11428,4428,15856
2018-10-24,11493,4436,15929
2018-10-25,11501,4443,15944
2018-10-28,11515,4435,15950
2018-10-30,11506,4422,15928
2018-11-01,11433,4401,15834
2018-11-06,11529,4407,15936
2018-11-07,11579,4413,15992
2018-11-08,11556,4427,15983
2018-11-13,11647,4442,16089
2018-11-15,11554,4451,16005
2018-11-18,11603,4453,16056
2018-11-22,11578,4417,15995
2018-11-26,11646,4451,16097
2018-11-27,11676,4458,16134
2018-11-29,11664,4469,16133
2018-12-03,11626,4447,16073
2018-12-06,11712,4463,16175
2018-12-09,11695,4462,16157
2018-12-10,11715,4472,16187
2018-12-11,11739,4465,16204
2018-12-13,11678,4474,16152
2018-12-16,11711,4449,16160
2018-12-18,11751,4480,16231
2018-12-26,11696,4412,16108
2018-12-30,11649,4397,16046
2019-04-25,12108,4435,16543
2019-06-08,11746,4305,16051
2019-06-10,11832,4327,16159
2019-06-11,11810,4350,16160
2019-06-12,11882,4372,16254
2019-06-23,11835,4371,16206
2019-07-08,11752,4354,16106
2019-07-17,11802,4376,16178
2019-08-06,11841,4380,16221
2019-09-08,11866,4489,16355
2019-09-19,11972,4583,16555
2019-09-30,11914,4543,16457
2019-10-01,11875,4523,16398
2019-10-22,12055,4592,16647
2019-12-30,12311,4606,16917
2020-01-09,12391,4656,17047
2020-01-12,12383,4636,17019
2020-01-13,12403,4638,17041
2020-01-15,12404,4658,17062
2020-01-16,12411,4674,17085
2020-01-20,12477,4701,17178
2020-01-30,12504,4731,17235
2020-02-02,12454,4680,17134
2020-02-03,12417,4689,17106
2020-02-04,12409,4717,17126
2020-02-05,12479,4711,17190
2020-03-19,12528,4618,17146
2020-04-06,12669,4609,17278
2020-04-09,12692,4633,17325
2020-04-14,12643,4621,17264
2020-05-03,12685,4484,17169
2020-05-04,12710,4493,17203
2020-06-18,13054,4387,17441
2020-08-06,13148,4481,17629
2020-08-09,13140,4496,17636
2020-09-30,13278,4520,17798
2020-10-15,13419,4514,17933
2020-10-21,13423,4508,17931
2020-11-09,13590,4524,18114
